# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\mfida\OneDrive\Documents\Altera\projects\CourseraCourseProj\pipemultQP16_1\Schematic\pipemult_assignments.csv
# Generated on: Sat Nov 03 12:27:47 2018

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,clk1,Location,PIN_N14,Yes,,,
Ok,,clk1,I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,reset,Location,PIN_D9,Yes,,,
Ok,,reset,I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A,I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[31],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[30],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[29],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[28],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[27],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[26],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[25],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[24],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[23],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[22],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[21],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[20],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[19],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[18],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[17],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[16],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[15],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[14],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[13],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[12],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[11],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
Ok,,A[10],I/O Standard,3.3-V LVCMOS,Yes,pipemult,,
